id;Period;Data_value;Series_title_2
466;2002.10;1615.6;Debit
467;2002.11;1588.7;Debit
468;2002.12;1910.6;Debit
469;2003.01;1573.5;Debit
470;2003.02;1466.9;Debit
471;2003.03;1615.7;Debit
472;2003.04;1586.3;Debit
473;2003.05;1676.5;Debit
474;2003.06;1552.4;Debit
475;2003.07;1687;Debit
476;2003.08;1684.8;Debit
477;2003.09;1632.9;Debit
478;2003.10;1741.5;Debit
479;2003.11;1737.1;Debit
480;2003.12;2114.9;Debit
481;2004.01;1732.1;Debit
482;2004.02;1642.1;Debit
483;2004.03;1783.3;Debit
484;2004.04;1778.6;Debit
485;2004.05;1793.2;Debit
486;2004.06;1730;Debit
487;2004.07;1855.4;Debit
488;2004.08;1791.6;Debit
489;2004.09;1791.5;Debit
490;2004.10;1847.8;Debit
491;2004.11;1877.7;Debit
492;2004.12;2291.6;Debit
493;2005.01;1838.9;Debit
494;2005.02;1746.2;Debit
495;2005.03;1932.5;Debit
496;2005.04;1917.4;Debit
497;2005.05;1907.8;Debit
498;2005.06;1882.7;Debit
499;2005.07;1977.6;Debit
500;2005.08;1959.8;Debit
501;2005.09;1954.4;Debit
502;2005.10;2013.1;Debit
503;2005.11;2049.2;Debit
504;2005.12;2464;Debit
505;2006.01;1974.8;Debit
506;2006.02;1876.1;Debit
507;2006.03;2116.4;Debit
508;2006.04;2040.7;Debit
509;2006.05;2115.8;Debit
510;2006.06;2069.1;Debit
511;2006.07;2128.4;Debit
512;2006.08;2143.3;Debit
513;2006.09;2112.9;Debit
514;2006.10;2170.3;Debit
515;2006.11;2243;Debit
516;2006.12;2707.3;Debit
517;2007.01;2182.7;Debit
518;2007.02;2088.9;Debit
519;2007.03;2342.2;Debit
520;2007.04;2234.2;Debit
521;2007.05;2333.4;Debit
522;2007.06;2262.2;Debit
523;2007.07;2306.5;Debit
524;2007.08;2369.2;Debit
525;2007.09;2293.3;Debit
526;2007.10;2379.8;Debit
527;2007.11;2464.4;Debit
528;2007.12;2907.7;Debit
529;2008.01;2374.9;Debit
530;2008.02;2324.2;Debit
531;2008.03;2437;Debit
532;2008.04;2375.4;Debit
533;2008.05;2507.1;Debit
534;2008.06;2296.3;Debit
535;2008.07;2459.3;Debit
536;2008.08;2480.4;Debit
537;2008.09;2413.8;Debit
538;2008.10;2587.9;Debit
539;2008.11;2547.1;Debit
540;2008.12;3022.2;Debit
541;2009.01;2513.7;Debit
542;2009.02;2341.3;Debit
543;2009.03;2549.9;Debit
544;2009.04;2528.3;Debit
545;2009.05;2631;Debit
546;2009.06;2454.7;Debit
547;2009.07;2632.8;Debit
548;2009.08;2605.4;Debit
549;2009.09;2557.1;Debit
550;2009.10;2697.3;Debit
551;2009.11;2652.6;Debit
552;2009.12;3211.2;Debit
553;2010.01;2641.8;Debit
554;2010.02;2477.2;Debit
555;2010.03;2752.5;Debit
556;2010.04;2654;Debit
557;2010.05;2704;Debit
558;2010.06;2592.3;Debit
559;2010.07;2781.9;Debit
560;2010.08;2704.6;Debit
561;2010.09;2708.2;Debit
562;2010.10;2865.7;Debit
563;2010.11;2876.5;Debit
564;2010.12;3454;Debit
565;2011.01;2803.6;Debit
566;2011.02;2650.3;Debit
567;2011.03;2978.2;Debit
568;2011.04;2923;Debit
569;2011.05;2916.1;Debit
570;2011.06;2837.2;Debit
571;2011.07;2979.9;Debit
572;2011.08;2938.8;Debit
573;2011.09;2899.5;Debit
574;2011.10;3020.3;Debit
575;2011.11;3043.6;Debit
576;2011.12;3636.7;Debit
577;2012.01;2946.2;Debit
578;2012.02;2913.5;Debit
579;2012.03;3148.6;Debit
580;2012.04;2974;Debit
581;2012.05;3127.5;Debit
582;2012.06;3002.8;Debit
583;2012.07;3050.7;Debit
584;2012.08;3143.7;Debit
585;2012.09;2998.3;Debit
586;2012.10;3152.4;Debit
587;2012.11;3241.1;Debit
588;2012.12;3751.6;Debit
589;2013.01;3145.6;Debit
590;2013.02;2959.7;Debit
591;2013.03;3244.5;Debit
592;2013.04;3118.4;Debit
593;2013.05;3269.6;Debit
594;2013.06;3090.3;Debit
595;2013.07;3232.3;Debit
596;2013.08;3290.2;Debit
597;2013.09;3090.8;Debit
598;2013.10;3328.7;Debit
599;2013.11;3390.5;Debit
600;2013.12;3902.2;Debit
601;2014.01;3267.1;Debit
602;2014.02;3077.6;Debit
603;2014.03;3349.4;Debit
604;2014.04;3237;Debit
605;2014.05;3463.1;Debit
606;2014.06;3184.2;Debit
607;2014.07;3358.7;Debit
608;2014.08;3355.2;Debit
609;2014.09;3199.8;Debit
610;2014.10;3472;Debit
611;2014.11;3442;Debit
612;2014.12;4029.8;Debit
613;2015.01;3391.4;Debit
614;2015.02;3149.6;Debit
615;2015.03;3429.6;Debit
616;2015.04;3335;Debit
617;2015.05;3484.4;Debit
618;2015.06;3280.2;Debit
619;2015.07;3483.2;Debit
620;2015.08;3409.6;Debit
621;2015.09;3313.1;Debit
622;2015.10;3560.3;Debit
623;2015.11;3492.1;Debit
624;2015.12;4171.2;Debit
625;2016.01;3420.1;Debit
626;2016.02;3331.8;Debit
627;2016.03;3526;Debit
628;2016.04;3479.5;Debit
629;2016.05;3474.3;Debit
630;2016.06;3401.9;Debit
631;2016.07;3538.8;Debit
632;2016.08;3417;Debit
633;2016.09;3382.7;Debit
634;2016.10;3548.3;Debit
635;2016.11;3558.2;Debit
636;2016.12;4198.9;Debit
637;2017.01;3391.5;Debit
638;2017.02;3216.2;Debit
639;2017.03;3535.3;Debit
640;2017.04;3375;Debit
641;2017.05;3505.7;Debit
642;2017.06;3361.3;Debit
643;2017.07;3410.1;Debit
644;2017.08;3426.8;Debit
645;2017.09;3343.9;Debit
646;2017.10;3479;Debit
647;2017.11;3587.6;Debit
648;2017.12;4129.3;Debit
649;2018.01;3345.2;Debit
650;2018.02;3137.2;Debit
651;2018.03;3517.5;Debit
652;2018.04;3265.4;Debit
653;2018.05;3454.7;Debit
654;2018.06;3328.4;Debit
655;2018.07;3373.4;Debit
656;2018.08;3445.8;Debit
657;2018.09;3304.1;Debit
658;2018.10;3479.2;Debit
659;2018.11;3527.1;Debit
660;2018.12;4002.4;Debit
661;2019.01;3357.1;Debit
662;2019.02;3151.3;Debit
663;2019.03;3454.8;Debit
664;2019.04;3312.2;Debit
665;2019.05;3491.6;Debit
666;2019.06;3268.7;Debit
667;2019.07;3398.1;Debit
668;2019.08;3482.4;Debit
669;2019.09;3292.9;Debit
670;2019.10;3539.5;Debit
671;2019.11;3604.2;Debit
672;2019.12;4032.6;Debit
673;2020.01;3413.1;Debit
674;2020.02;3356.4;Debit
675;2020.03;3106.2;Debit
676;2020.04;1143.7;Debit
677;2020.05;2412.1;Debit
678;2020.06;2950.2;Debit
679;2020.07;3225;Debit
680;2020.08;2828.3;Debit
681;2020.09;2959.9;Debit
682;2020.10;3204.2;Debit
683;2020.11;3175.8;Debit
684;2020.12;3664.7;Debit
685;2021.01;3038;Debit
686;2021.02;2780.1;Debit
687;2021.03;3015.4;Debit
688;2021.04;3017.6;Debit
689;2021.05;3114.5;Debit
690;2021.06;3002.1;Debit
691;2021.07;3139;Debit
692;2021.08;2187.1;Debit
693;2021.09;2123.4;Debit
694;2021.10;2497.5;Debit
695;2021.11;2774.8;Debit
696;2021.12;3321.8;Debit
697;2022.01;2776.4;Debit
698;2022.02;2486;Debit
699;2022.03;2688.2;Debit
700;2022.04;2748;Debit
701;2022.05;2831.3;Debit
702;2022.06;2743.8;Debit
703;2022.07;2808.4;Debit
704;2022.08;2845.8;Debit
705;2022.09;2847.4;Debit
706;2022.10;2979;Debit
707;2022.11;3022.9;Debit
708;2022.12;3414.5;Debit
709;2002.08;;Credit
710;2002.09;;Credit
711;2002.10;1229.4;Credit
712;2002.11;1221.9;Credit
713;2002.12;1294.1;Credit
714;2003.01;1265;Credit
715;2003.02;1266.9;Credit
716;2003.03;1263.2;Credit
717;2003.04;1259.2;Credit
718;2003.05;1271.5;Credit
719;2003.06;1277.5;Credit
720;2003.07;1309;Credit
721;2003.08;1311.9;Credit
722;2003.09;1331.7;Credit
723;2003.10;1346.8;Credit
724;2003.11;1380.3;Credit
725;2003.12;1447.4;Credit
726;2004.01;1429.1;Credit
727;2004.02;1405;Credit
728;2004.03;1455.5;Credit
729;2004.04;1476.4;Credit
730;2004.05;1482.1;Credit
731;2004.06;1501.8;Credit
732;2004.07;1504.4;Credit
733;2004.08;1526.7;Credit
734;2004.09;1532.4;Credit
735;2004.10;1547.6;Credit
736;2004.11;1563.2;Credit
737;2004.12;1571.7;Credit
738;2005.01;1575.5;Credit
739;2005.02;1595.7;Credit
740;2005.03;1592.3;Credit
741;2005.04;1624.9;Credit
742;2005.05;1598;Credit
743;2005.06;1642.3;Credit
744;2005.07;1660.8;Credit
745;2005.08;1665.5;Credit
746;2005.09;1674.6;Credit
747;2005.10;1700;Credit
748;2005.11;1692.1;Credit
749;2005.12;1695;Credit
750;2006.01;1724.6;Credit
751;2006.02;1740.2;Credit
752;2006.03;1772.6;Credit
753;2006.04;1783.5;Credit
754;2006.05;1814.1;Credit
755;2006.06;1818.7;Credit
756;2006.07;1823.2;Credit
757;2006.08;1847;Credit
758;2006.09;1819.8;Credit
759;2006.10;1863.3;Credit
760;2006.11;1868.6;Credit
761;2006.12;1895.3;Credit
762;2007.01;1890.6;Credit
763;2007.02;1912.7;Credit
764;2007.03;1933.3;Credit
765;2007.04;1916.7;Credit
766;2007.05;1934.6;Credit
767;2007.06;1955.7;Credit
768;2007.07;1960.8;Credit
769;2007.08;1965.7;Credit
770;2007.09;1994.8;Credit
771;2007.10;1992.2;Credit
772;2007.11;2039.4;Credit
773;2007.12;2045.6;Credit
774;2008.01;2055.6;Credit
775;2008.02;2036.3;Credit
776;2008.03;2024.7;Credit
777;2008.04;2069.3;Credit
778;2008.05;2070.7;Credit
779;2008.06;2067.6;Credit
780;2008.07;2082;Credit
781;2008.08;2075.5;Credit
782;2008.09;2073.2;Credit
783;2008.10;2052.1;Credit
784;2008.11;2003.2;Credit
785;2008.12;1982.7;Credit
786;2009.01;1969.8;Credit
787;2009.02;1995.4;Credit
788;2009.03;1988.8;Credit
789;2009.04;1986.5;Credit
790;2009.05;1978.4;Credit
791;2009.06;1983.6;Credit
792;2009.07;2004;Credit
793;2009.08;2014.4;Credit
794;2009.09;2006.5;Credit
795;2009.10;2000.9;Credit
796;2009.11;2008.1;Credit
797;2009.12;2037.6;Credit
798;2010.01;2027.8;Credit
799;2010.02;2027.9;Credit
800;2010.03;2063.3;Credit
801;2010.04;2013.3;Credit
802;2010.05;2036.2;Credit
803;2010.06;2050.9;Credit
804;2010.07;2035.5;Credit
805;2010.08;2052.9;Credit
806;2010.09;2078.8;Credit
807;2010.10;2036;Credit
808;2010.11;2095.6;Credit
809;2010.12;2091.3;Credit
810;2011.01;2112.2;Credit
811;2011.02;2123.4;Credit
812;2011.03;2123.2;Credit
813;2011.04;2151.9;Credit
814;2011.05;2150.9;Credit
815;2011.06;2147;Credit
816;2011.07;2179.8;Credit
817;2011.08;2159.3;Credit
818;2011.09;2176.1;Credit
819;2011.10;2227.7;Credit
820;2011.11;2217.9;Credit
821;2011.12;2220.4;Credit
822;2012.01;2238.6;Credit
823;2012.02;2214.3;Credit
824;2012.03;2234.8;Credit
825;2012.04;2228.8;Credit
826;2012.05;2257.9;Credit
827;2012.06;2250.8;Credit
828;2012.07;2241.4;Credit
829;2012.08;2279.5;Credit
830;2012.09;2306.1;Credit
831;2012.10;2289.2;Credit
832;2012.11;2306.3;Credit
833;2012.12;2330;Credit
834;2013.01;2335.4;Credit
835;2013.02;2361.3;Credit
836;2013.03;2350.5;Credit
837;2013.04;2411;Credit
838;2013.05;2398.4;Credit
839;2013.06;2447.5;Credit
840;2013.07;2461.9;Credit
841;2013.08;2480.5;Credit
842;2013.09;2464.6;Credit
843;2013.10;2500.7;Credit
844;2013.11;2504.2;Credit
845;2013.12;2535.8;Credit
846;2014.01;2534.2;Credit
847;2014.02;2553.4;Credit
848;2014.03;2549.4;Credit
849;2014.04;2539;Credit
850;2014.05;2582.1;Credit
851;2014.06;2586.4;Credit
852;2014.07;2592.5;Credit
853;2014.08;2608;Credit
854;2014.09;2616.1;Credit
855;2014.10;2652.4;Credit
856;2014.11;2675.6;Credit
857;2014.12;2667.6;Credit
858;2015.01;2664.9;Credit
859;2015.02;2694.4;Credit
860;2015.03;2736.3;Credit
861;2015.04;2677.8;Credit
862;2015.05;2772.3;Credit
863;2015.06;2810.1;Credit
864;2015.07;2848.2;Credit
865;2015.08;2879;Credit
866;2015.09;2881.3;Credit
867;2015.10;2902.5;Credit
